"","Date","HomePriceIndex"
"1",2010-01-01,145.003
"2",2010-02-01,143.056
"3",2010-03-01,143.596
"4",2010-04-01,145.398
"5",2010-05-01,147.031
"6",2010-06-01,147.695
"7",2010-07-01,147.552
"8",2010-08-01,146.413
"9",2010-09-01,144.598
"10",2010-10-01,143.129
"11",2010-11-01,141.826
"12",2010-12-01,140.639
"13",2011-01-01,139.049
"14",2011-02-01,137.746
"15",2011-03-01,137.794
"16",2011-04-01,139.156
"17",2011-05-01,140.685
"18",2011-06-01,141.936
"19",2011-07-01,142.332
"20",2011-08-01,141.775
"21",2011-09-01,140.159
"22",2011-10-01,138.402
"23",2011-11-01,136.659
"24",2011-12-01,135.162
"25",2012-01-01,134.166
"26",2012-02-01,133.999
"27",2012-03-01,135.872
"28",2012-04-01,138.483
"29",2012-05-01,141.06
"30",2012-06-01,143.177
"31",2012-07-01,144.286
"32",2012-08-01,144.708
"33",2012-09-01,144.364
"34",2012-10-01,143.976
"35",2012-11-01,143.972
"36",2012-12-01,143.878
"37",2013-01-01,144.316
"38",2013-02-01,145.161
"39",2013-03-01,147.961
"40",2013-04-01,150.977
"41",2013-05-01,153.874
"42",2013-06-01,156.446
"43",2013-07-01,158.309
"44",2013-08-01,159.418
"45",2013-09-01,159.693
"46",2013-10-01,159.569
"47",2013-11-01,159.37
"48",2013-12-01,159.291
"49",2014-01-01,159.391
"50",2014-02-01,159.904
"51",2014-03-01,161.222
"52",2014-04-01,162.999
"53",2014-05-01,164.71
"54",2014-06-01,166.236
"55",2014-07-01,167.156
"56",2014-08-01,167.47
"57",2014-09-01,167.264
"58",2014-10-01,166.934
"59",2014-11-01,166.685
"60",2014-12-01,166.495
"61",2015-01-01,166.297
"62",2015-02-01,166.688
"63",2015-03-01,168.142
"64",2015-04-01,170.012
"65",2015-05-01,171.887
"66",2015-06-01,173.488
"67",2015-07-01,174.535
"68",2015-08-01,174.983
"69",2015-09-01,175.099
"70",2015-10-01,175.112
"71",2015-11-01,175.214
"72",2015-12-01,175.191
"73",2016-01-01,175.105
"74",2016-02-01,175.343
"75",2016-03-01,176.659
"76",2016-04-01,178.55
"77",2016-05-01,180.404
"78",2016-06-01,181.991
"79",2016-07-01,183.11
"80",2016-08-01,183.761
"81",2016-09-01,184.059
"82",2016-10-01,184.141
"83",2016-11-01,184.363
"84",2016-12-01,184.541
"85",2017-01-01,184.795
"86",2017-02-01,185.163
"87",2017-03-01,186.675
"88",2017-04-01,188.681
"89",2017-05-01,190.684
"90",2017-06-01,192.424
"91",2017-07-01,193.688
"92",2017-08-01,194.535
"93",2017-09-01,195.013
"94",2017-10-01,195.278
"95",2017-11-01,195.644
"96",2017-12-01,196.05
"97",2018-01-01,196.336
"98",2018-02-01,197.144
"99",2018-03-01,198.826
"100",2018-04-01,200.876
"101",2018-05-01,202.733
"102",2018-06-01,204.341
"103",2018-07-01,205.266
"104",2018-08-01,205.64
"105",2018-09-01,205.688
"106",2018-10-01,205.677
"107",2018-11-01,205.426
"108",2018-12-01,205.016
"109",2019-01-01,204.623
"110",2019-02-01,205.041
